[2025-06-17 11:26:12,373] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-06-17 11:26:23,066] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 67
[2025-06-17 11:26:23,237] INFO custom_logger User 'dayanand.m' tried to access login page but is already authenticated.
[2025-06-17 11:26:23,307] INFO django.server "GET / HTTP/1.1" 302 0
[2025-06-17 11:26:23,391] INFO custom_logger User 'dayanand.m' accessed index page.
[2025-06-17 11:26:23,405] INFO django.server "GET /indexpage/ HTTP/1.1" 200 9681
[2025-06-17 11:26:23,445] INFO django.server "GET /static/main/css/fontawesome.css HTTP/1.1" 304 0
[2025-06-17 11:26:23,479] INFO django.server "GET /static/main/css/main.css HTTP/1.1" 304 0
[2025-06-17 11:26:23,479] INFO django.server "GET /static/main/css/navbar.css HTTP/1.1" 304 0
[2025-06-17 11:26:23,480] INFO django.server "GET /static/main/images/ProductionModule.png HTTP/1.1" 304 0
[2025-06-17 11:26:23,481] INFO django.server "GET /static/main/images/OC.png HTTP/1.1" 304 0
[2025-06-17 11:26:23,586] INFO django.server "GET /static/main/js/navbar.js HTTP/1.1" 304 0
[2025-06-17 11:26:23,587] INFO django.server "GET /static/main/js/fontawesome.js HTTP/1.1" 304 0
[2025-06-17 11:26:24,424] WARNING django.server "GET /static/main/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 179
[2025-06-17 11:26:24,532] WARNING django.server "GET /static/main/webfonts/fa-solid-900.ttf HTTP/1.1" 404 179
[2025-06-17 11:26:29,100] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:29,125] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:29,285] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 67
[2025-06-17 11:26:30,805] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:30,826] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:30,906] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 67
[2025-06-17 11:26:31,001] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 67
[2025-06-17 11:26:31,665] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:31,784] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 67
[2025-06-17 11:26:31,887] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 67
[2025-06-17 11:26:31,987] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 67
[2025-06-17 11:26:32,842] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:32,955] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 67
[2025-06-17 11:26:33,313] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:33,803] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:33,827] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:34,182] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:34,303] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 67
[2025-06-17 11:26:34,774] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 135
[2025-06-17 11:26:34,873] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 67
[2025-06-17 11:26:35,608] INFO django.server "POST /get_effluent_qty_details/ HTTP/1.1" 200 116
[2025-06-17 11:26:35,983] INFO django.server "POST /get_voucher_details_by_batch/ HTTP/1.1" 200 34
[2025-06-17 11:26:38,611] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:38,713] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 67
[2025-06-17 11:26:39,609] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
[2025-06-17 11:26:39,642] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 95
