[2025-06-21 11:46:54,100] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-06-21 12:11:27,343] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
[2025-06-21 12:11:27,490] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 1702
[2025-06-21 12:11:39,893] INFO django.server "GET /canteen-dashboard/?refresh=1750488020463 HTTP/1.1" 200 14566
[2025-06-21 12:11:39,921] INFO django.server "GET /static/main/css/fontawesome.css HTTP/1.1" 304 0
[2025-06-21 12:11:39,922] INFO django.server "GET /static/main/js/fontawesome.js HTTP/1.1" 304 0
[2025-06-21 12:11:39,940] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
[2025-06-21 12:11:40,036] WARNING django.server "GET /static/main/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 179
[2025-06-21 12:11:40,115] WARNING django.server "GET /static/main/webfonts/fa-solid-900.ttf HTTP/1.1" 404 179
[2025-06-21 12:11:56,767] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
[2025-06-21 12:11:56,894] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 1702
[2025-06-21 12:12:06,500] INFO django.server "GET /canteen-dashboard/?refresh=1750488054164 HTTP/1.1" 200 14566
[2025-06-21 12:12:06,629] WARNING django.server "GET /static/main/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 179
[2025-06-21 12:12:06,718] WARNING django.server "GET /static/main/webfonts/fa-solid-900.ttf HTTP/1.1" 404 179
[2025-06-21 12:12:07,006] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
[2025-06-21 12:12:23,841] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
[2025-06-21 12:12:24,004] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 1702
[2025-06-21 12:12:36,146] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
[2025-06-21 12:12:36,281] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 1702
[2025-06-21 12:12:36,492] INFO django.server "GET /canteen-dashboard/?refresh=1750488080745 HTTP/1.1" 200 14566
[2025-06-21 12:12:36,626] WARNING django.server "GET /static/main/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 179
[2025-06-21 12:12:36,711] WARNING django.server "GET /static/main/webfonts/fa-solid-900.ttf HTTP/1.1" 404 179
[2025-06-21 12:12:48,455] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
[2025-06-21 12:12:53,319] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
[2025-06-21 12:12:53,460] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 1702
[2025-06-21 12:13:05,583] INFO django.server "GET /fetch-attendance/ HTTP/1.1" 200 84730
[2025-06-21 12:13:05,851] INFO django.server "GET /api/dashboard-data/ HTTP/1.1" 200 1702
[2025-06-21 12:13:07,151] INFO django.server "GET /canteen-dashboard/?refresh=1750488110759 HTTP/1.1" 200 14566
[2025-06-21 12:13:07,180] INFO django.server "GET /static/main/css/fontawesome.css HTTP/1.1" 304 0
[2025-06-21 12:13:07,180] INFO django.server "GET /static/main/js/fontawesome.js HTTP/1.1" 304 0
[2025-06-21 12:13:07,303] WARNING django.server "GET /static/main/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 179
[2025-06-21 12:13:07,384] WARNING django.server "GET /static/main/webfonts/fa-solid-900.ttf HTTP/1.1" 404 179
